FIPS-Code,Name,Population,All white Christians,White evangelical Protestant,White mainline Protestant,Black Protestant,White Catholic,Hispanic Catholic,Mormon,Other Christian,Jewish,Muslim,Buddhist,Hindu,Unaffiliated,Total
17071,"Hardin County, IL",3800,73,44,22,1,7,0,0,3,0,0,0,0,22,172
17073,"Henderson County, IL",6600,76,32,29,0,15,0,0,2,0,0,0,0,21,175
17075,"Henry County, IL",49000,74,32,29,1,13,1,0,3,0,0,0,0,20,173
17077,"Iroquois County, IL",27000,78,33,30,0,15,2,0,2,0,0,0,0,18,178
17079,"Jackson County, IL",57000,49,21,18,6,9,1,1,4,1,1,0,0,36,147
17081,"Jasper County, IL",9600,80,35,26,1,19,0,0,2,0,0,0,0,17,180
17083,"Jefferson County, IL",38000,72,39,22,1,11,1,0,5,0,0,0,0,20,171
17085,"Jersey County, IL",22000,75,28,24,1,23,0,0,4,0,0,0,0,20,175
17087,"Jo Daviess County, IL",21000,72,22,27,0,23,0,0,2,0,0,0,0,25,171
17089,"Johnson County, IL",12000,78,43,22,2,12,1,1,3,0,0,0,0,18,180
17091,"Kane County, IL",532000,48,14,16,4,18,13,0,4,1,0,0,1,25,144
17093,"Kankakee County, IL",110000,60,21,19,8,20,4,0,4,0,0,0,0,21,157
17095,"Kendall County, IL",129000,60,17,18,4,23,5,2,4,0,1,0,0,23,157
17097,"Knox County, IL",50000,64,31,24,1,9,2,0,5,0,0,0,0,26,162
17099,"Lake County, IL",697000,41,9,13,6,18,10,1,6,4,1,1,1,27,138
17101,"LaSalle County, IL",109000,65,15,24,2,25,3,1,4,0,0,0,0,27,166
17103,"Lawrence County, IL",16000,69,37,22,1,10,0,0,4,0,0,0,0,25,168
17105,"Lee County, IL",34000,67,25,28,1,14,1,0,4,0,0,0,0,27,167
17107,"Livingston County, IL",36000,70,25,28,2,17,1,0,4,0,0,0,0,23,170
17109,"Logan County, IL",29000,69,38,25,3,6,1,0,5,0,0,0,0,22,169
17111,"McDonough County, IL",30000,60,23,23,4,14,0,0,3,0,0,0,0,32,159
17113,"McHenry County, IL",308000,64,14,22,2,27,4,1,4,1,1,0,0,23,163
17115,"McLean County, IL",172000,60,22,20,4,17,3,1,5,0,1,0,1,24,158
17117,"Macon County, IL",104000,59,29,20,9,10,1,0,5,0,0,0,0,24,157
17119,"Macoupin County, IL",45000,77,35,29,0,13,0,0,3,0,0,0,0,20,177
17121,"Madison County, IL",263000,67,27,23,4,17,1,0,3,0,0,0,0,24,166
17123,"Marion County, IL",37000,70,33,26,1,11,0,0,4,0,0,0,0,25,170
17125,"Marshall County, IL",11000,73,24,27,1,22,0,0,2,0,0,0,0,23,172
17127,"Mason County, IL",13000,73,35,27,2,11,1,0,3,0,0,0,0,21,173
17129,"Massac County, IL",14000,75,41,25,3,9,1,0,4,0,0,0,0,17,175
17131,"Menard County, IL",12000,75,32,28,0,15,1,0,2,0,0,0,0,22,175
